,month,customer_type,total_order,total_order_pct,order_growth_pct,total_spent,total_spent_pct,spent_growth_pct
0,Sep-2016,all,3,100.0,,267.36,100.0,
1,Sep-2016,existing,0,0.0,,0.0,0.0,
2,Sep-2016,new,3,100.0,,267.36,100.0,
3,Oct-2016,all,308,100.0,101.66666666666667,49507.66,100.0,184.17227707959307
4,Oct-2016,existing,3,0.974025974025974,inf,470.95000000000005,0.9512669352580996,inf
5,Oct-2016,new,305,99.02597402597402,100.66666666666667,49036.71000000001,99.04873306474191,182.4107944344704
6,Dec-2016,all,1,100.0,-0.9967532467532467,10.9,100.0,-0.9997798320502322
7,Dec-2016,existing,0,0.0,-1.0,0.0,0.0,-1.0
8,Dec-2016,new,1,100.0,-0.9967213114754099,10.9,100.0,-0.99977771755079
9,Jan-2017,existing,35,4.447268106734435,inf,2387.7799999999997,1.9860600341121433,inf
10,Jan-2017,new,752,95.55273189326556,751.0,117839.2,98.01393996588784,10809.935779816513
11,Jan-2017,all,787,100.0,786.0,120226.98,100.0,11028.998165137615
12,Feb-2017,new,1693,98.37303893085415,1.2513297872340425,243158.24,98.95805964614463,1.0634749726746278
13,Feb-2017,all,1721,100.0,1.1867852604828464,245718.48,100.0,1.0437881746676165
14,Feb-2017,existing,28,1.6269610691458454,-0.19999999999999996,2560.2400000000002,1.041940353855355,0.072226084480145
15,Mar-2017,new,2595,98.25823551684968,0.5327820437093915,370094.45999999996,98.86472426586967,0.5220313323537791
16,Mar-2017,all,2641,100.0,0.5345729227193492,374344.3,100.0,0.5234682389375027
17,Mar-2017,existing,46,1.741764483150322,0.6428571428571428,4249.839999999999,1.1352757341303177,0.659938130800237
18,Apr-2017,new,2339,97.82517774989545,-0.09865125240847783,353137.68,98.11363258067472,-0.04581743806702743
19,Apr-2017,existing,52,2.1748222501045587,0.13043478260869557,6789.549999999999,1.8863674193252897,0.5976013214615139
20,Apr-2017,all,2391,100.0,-0.0946611132146914,359927.23,100.0,-0.03851286102125773
21,May-2017,existing,100,2.73224043715847,0.9230769230769231,12889.1,2.5468948891256673,0.898373235339603
22,May-2017,all,3660,100.0,0.5307402760351319,506071.14,100.0,0.4060373815006997
23,May-2017,new,3560,97.26775956284153,0.5220179563916203,493182.04000000004,97.45310511087433,0.39657155815261635
24,Jun-2017,existing,103,3.2017407522536527,0.030000000000000027,10902.929999999998,2.5177732423853207,-0.15409687255122562
25,Jun-2017,all,3217,100.0,-0.12103825136612023,433038.6,100.0,-0.14431279365189653
26,Jun-2017,new,3114,96.79825924774634,-0.12528089887640448,422135.67000000004,97.4822267576147,-0.14405709096787056
27,Jul-2017,existing,126,3.1746031746031744,0.2233009708737863,16862.61,3.385852235685985,0.5466126995220553
28,Jul-2017,all,3969,100.0,0.23375815977618908,498031.48,100.0,0.1500856505632524
29,Jul-2017,new,3843,96.82539682539682,0.2341040462427746,481168.87000000005,96.61414776431401,0.13984414062900674
30,Aug-2017,new,4149,96.64570230607966,0.07962529274004693,554534.26,96.61352281352976,0.15247326785708304
31,Aug-2017,existing,144,3.3542976939203357,0.1428571428571428,19437.42,3.386477186470245,0.15269344425329168
32,Aug-2017,all,4293,100.0,0.08163265306122458,573971.68,100.0,0.15248072270451685
33,Sep-2017,existing,153,3.605939193966533,0.0625,20414.93,3.2695186971707266,0.05029011051878296
34,Sep-2017,new,4090,96.39406080603347,-0.014220294046758286,603986.76,96.73048130282926,0.08917843957918858
35,Sep-2017,all,4243,100.0,-0.011646866992778948,624401.6900000001,100.0,0.08786149518735842
36,Oct-2017,new,4413,96.60683012259194,0.07897310513447442,647463.42,97.47733817422356,0.07198280306674287
37,Oct-2017,existing,155,3.393169877408056,0.013071895424836555,16756.010000000002,2.5226618257764613,-0.17922765348693326
38,Oct-2017,all,4568,100.0,0.07659674758425639,664219.43,100.0,0.06376943022047232
39,Nov-2017,existing,234,3.1405180512682858,0.5096774193548388,26132.07,2.5866386770912846,0.5595640012150862
40,Nov-2017,new,7217,96.85948194873171,0.6353954226150011,984139.3,97.41336132290871,0.5199921255783069
41,Nov-2017,all,7451,100.0,0.6311295971978985,1010271.37,100.0,0.5209903901787394
42,Dec-2017,new,5442,96.76386913229018,-0.24594706941942635,719753.03,96.75216026601564,-0.2686472026876683
43,Dec-2017,existing,182,3.2361308677098153,-0.2222222222222222,24161.14,3.247839733984365,-0.07542188582840936
44,Dec-2017,all,5624,100.0,-0.24520198631056234,743914.17,100.0,-0.2636491619078545
45,Jan-2018,new,6983,96.7174515235457,0.2831679529584712,919936.78,96.83235596807664,0.2781283880110932
46,Jan-2018,all,7220,100.0,0.28378378378378377,950030.36,100.0,0.277069853367627
47,Jan-2018,existing,237,3.2825484764542936,0.30219780219780223,30093.58,3.167644031923359,0.24553642750300697
48,Feb-2018,all,6694,100.0,-0.07285318559556786,844178.71,100.0,-0.11141922874970023
49,Feb-2018,new,6422,95.93665969524949,-0.0803379636259487,814297.68,96.46034309488805,-0.11483299971982852
50,Feb-2018,existing,272,4.063340304750523,0.14767932489451474,29881.03,3.5396569051119515,-0.0070629682477126865
51,Mar-2018,all,7188,100.0,0.07379743053480725,983213.44,100.0,0.16469821893518266
52,Mar-2018,existing,241,3.352810239287702,-0.11397058823529416,27598.83,2.8070029229868956,-0.07637621594704058
53,Mar-2018,new,6947,96.6471897607123,0.08175023357209588,955614.61,97.1929970770131,0.17354455682595082
54,Apr-2018,existing,225,3.244880299971157,-0.06639004149377592,29759.54,2.985963696802606,0.07828991301442856
55,Apr-2018,new,6709,96.75511970002884,-0.03425939254354393,966888.2100000001,97.01403630319739,0.011797224406186135
56,Apr-2018,all,6934,100.0,-0.035336672231496946,996647.75,100.0,0.013663676118992107
57,May-2018,all,6853,100.0,-0.011681569079896148,996517.68,100.0,-0.00013050749374587944
58,May-2018,existing,249,3.6334452064789144,0.10666666666666669,33556.2,3.3673461769388777,0.1275779128306418
59,May-2018,new,6604,96.36655479352109,-0.0156506185720674,962961.48,96.6326538230611,-0.00406120372488572
60,Jun-2018,existing,226,3.6688311688311686,-0.09236947791164662,29211.78,3.376599138683318,-0.12946698374666976
61,Jun-2018,new,5934,96.33116883116884,-0.1014536644457904,835912.53,96.62340086131668,-0.13193565125782591
62,Jun-2018,all,6160,100.0,-0.101123595505618,865124.31,100.0,-0.13185252267676772
63,Jul-2018,all,6273,100.0,0.01834415584415594,895507.22,100.0,0.0351197043578626
64,Jul-2018,existing,219,3.4911525585844094,-0.030973451327433676,26924.850000000002,3.0066591757909005,-0.07828793726366545
65,Jul-2018,new,6054,96.5088474414156,0.020222446916076775,868582.3700000001,96.99334082420911,0.03908284518716343
66,Aug-2018,existing,214,3.3168009919404837,-0.022831050228310557,26728.119999999995,3.127243184057945,-0.007306633091735182
67,Aug-2018,all,6452,100.0,0.028534991232265217,854686.33,100.0,-0.04558409925494511
68,Aug-2018,new,6238,96.68319900805952,0.03039312851007603,827958.21,96.87275681594204,-0.0467706476704105
69,Sep-2018,new,0,0.0,-1.0,0.0,0.0,-1.0
70,Sep-2018,all,1,100.0,-0.999845009299442,145.0,100.0,-0.9998303471169359
71,Sep-2018,existing,1,100.0,-0.9953271028037384,145.0,100.0,-0.9945750019081028
